displayName,salary,teamAbbreviation
Ryan Nembhard,9000,GONZ
Graham Ike,8800,GONZ
Michael Ajayi,8600,GONZ
Norchad Omier,8200,BAY
VJ Edgecombe,8000,BAY
Ben Gregg,7200,GONZ
Khalif Battle,7000,GONZ
Nolan Hickman,6600,GONZ
Jeremy Roach,6200,BAY
Jayden Nunn,5000,BAY
Langston Love,4200,BAY
Jalen Celestine,4000,BAY
Braden Huff,3800,GONZ
Josh Ojianwuna,3000,BAY
Dusty Stromer,2200,GONZ
Robert O. Wright III,1600,BAY
Ismaila Diagne,1200,GONZ
Steele Venters,1000,GONZ
Omar Adegbola,1000,BAY
Joe Few,1000,GONZ
Davidson Hubbard,1000,BAY
Braeden Smith,1000,GONZ
Noah Haaland,1000,GONZ
Yanis Ndjonga,1000,BAY
Jun Seok Yeo,1000,GONZ
Graydon Lemke,1000,GONZ
Cade Orness,1000,GONZ
Jason Asemota,1000,BAY
Marino Dubravcic,1000,BAY
Emmanuel Innocenti,1000,GONZ
Joaquim ArauzMoore,1000,GONZ
Kaleb Jackson,1000,BAY
