displayName,salary,teamAbbreviation
Brady Oliveira,11500,WPG
Trevor Harris,10300,SSK
Chad Kelly,9800,TOR
Samuel Emilus,9600,SSK
Ka'Deem Carey,9500,TOR
Walter Fletcher,9200,MTL
Shea Patterson,9000,SSK
Zach Collaros,8600,WPG
Makai Polk,8600,TOR
Cody Fajardo,8400,MTL
Davis Alexander,8200,MTL
Nic Demski,8000,WPG
Terry Wilson,7800,WPG
Ontaria Wilson,7800,WPG
Nick Arbuckle,7600,TOR
AJ Ouellette,7500,SSK
KeeSean Johnson,7400,SSK
Dominique Davis,7200,MTL
Sean Thomas Erlington,7200,MTL
Jack Coan,7100,SSK
Stevie Scott III,7000,MTL
Cameron Dukes,6900,TOR
Kian Schaffer-Baker,6800,SSK
Josh Johnson,6600,WPG
Deonta McMahon,6500,TOR
Kenny Lawler,6400,WPG
Cole Spieker,6300,MTL
Jake Dolegala,6000,WPG
Charleston Rambo,5900,MTL
Chris Streveler,5800,WPG
Ryquell Armstead,5700,SSK
Jerreth Sterns,5600,SSK
Caleb Evans,5500,MTL
Damonte Coxie,5400,TOR
DaVaris Daniels,5300,TOR
Kevens Clercius,5000,WPG
Janarion Grant,4800,TOR
Reggie White Jr.,4600,MTL
Thomas Bertrand-Hudon,4400,SSK
Tyson Philpot,4400,MTL
Tyler Snead,4400,MTL
Michael Chris-Ike,4200,WPG
Keric Wheatfall,4200,WPG
Kaion Julien-Grant,4100,MTL
Jake Herslow,4000,TOR
Dhel Duncan-Busby,3900,SSK
Daniel Adeboboye,3800,TOR
Lucky Whitehead,3800,WPG
James Letcher Jr.,3700,MTL
Tyjon Lindsey,3600,MTL
Mitchell Picton,3500,SSK
Blue Bombers,3500,WPG
Argonauts,3300,TOR
Dejon Brissett,3100,TOR
Roughriders,3000,SSK
Kevin Mital,2900,TOR
Nate Behar,2800,MTL
Mario Alford,2800,SSK
David Ungerer III,2800,TOR
Alouettes,2800,MTL
Shawn Bane Jr.,2700,SSK
Drew Wolitarsky,2700,WPG
Colton Hunchak,2700,SSK
Austin Mack,2700,MTL
Richie Sindani,2600,TOR
Dalton Schoen,2600,WPG
Tommy Nield,2600,TOR
Johnny Augustine,2500,WPG
Shedler Fervius,2500,MTL
Regis Cibasu,2500,MTL
Dohnte Meyers,2500,SSK
Ajou Ajou,2500,SSK
Jacob Mason,2500,MTL
David Dallaire,2500,MTL
Alexandre Gagne,2500,MTL
Albert Awachie,2500,SSK
