displayName,salary,teamAbbreviation
M1key,9800,OG
Lucky,9400,SAH
Buzz,9000,OG
oskar,8800,SIN
mantuu,8600,9INE
SHOCK,8400,SIN
casey,8200,RBLS
Cabbi,8000,SAH
MoDo,7600,OG
misutaaa,7400,9INE
Flayy,7200,RBLS
bnox,7000,PRM
MoriiSko,7000,SIN
MistR,6800,SAH
F1KU,6800,OG
tomiko,6600,PRM
s0und,6600,9INE
olimp,6600,RBLS
majky,6400,SIN
kwezz,6400,SAH
Chr1zN,6000,OG
maaryy,5800,PRM
refrezh,5800,9INE
kisserek,5600,RBLS
beastik,5400,SIN
IceBerg,5200,SAH
fr3nd,5000,PRM
raalz,4800,9INE
innocent,4600,RBLS
mASKED,4400,PRM
