displayName,salary,teamAbbreviation
Max Greyserman,10400,Golf
Cameron Young,10200,Golf
Ben Griffin,9900,Golf
Beau Hossler,9800,Golf
Doug Ghim,9600,Golf
Matti Schmid,9600,Golf
Lucas Glover,9500,Golf
Maverick McNealy,9300,Golf
Harry Hall,9200,Golf
Keith Mitchell,9100,Golf
J.J. Spaun,9000,Golf
Harris English,8900,Golf
Jhonattan Vegas,8800,Golf
Sam Stevens,8700,Golf
Erik Van Rooyen,8600,Golf
Matt Kuchar,8500,Golf
Taylor Moore,8400,Golf
Tom Hoge,8300,Golf
Rico Hoey,8200,Golf
Patrick Rodgers,8100,Golf
Patrick Fishburn,8000,Golf
Daniel Berger,7900,Golf
Austin Eckroat,7800,Golf
Jacob Bridgeman,7800,Golf
Michael Kim,7700,Golf
Adam Svensson,7700,Golf
Neal Shipley,7700,Golf
Charley Hoffman,7600,Golf
Patton Kizzire,7600,Golf
Justin Lower,7500,Golf
Nicolas Echavarria,7500,Golf
Chandler Phillips,7500,Golf
Vince Whaley,7500,Golf
Joe Highsmith,7400,Golf
Nate Lashley,7400,Golf
Kyoung-Hoon Lee,7400,Golf
Bud Cauley,7400,Golf
Nick Hardy,7300,Golf
Alejandro Tosti,7300,Golf
Chad Ramey,7300,Golf
Henrik Norlander,7300,Golf
Justin Suh,7200,Golf
Joseph Bramlett,7200,Golf
Alex Smalley,7200,Golf
Carson Young,7200,Golf
Pierceson Coody,7200,Golf
Hayden Springer,7100,Golf
Lanto Griffin,7100,Golf
Chesson Hadley,7100,Golf
Seung-Yul Noh,7100,Golf
Kevin Tway,7100,Golf
Luke List,7000,Golf
Cameron Champ,7000,Golf
Trace Crowe,7000,Golf
Austin Smotherman,7000,Golf
Seonghyeon Kim,7000,Golf
Ryan Gerard,7000,Golf
Ryan Moore,6900,Golf
Kevin Streelman,6900,Golf
Matthew NeSmith,6900,Golf
Scott Piercy,6900,Golf
Trey Mullinax,6900,Golf
Dylan Wu,6900,Golf
Zachary Bauchou,6900,Golf
Wesley Bryan,6800,Golf
Joel Dahmen,6800,Golf
Adam Schenk,6800,Golf
Sam Ryder,6800,Golf
Martin Laird,6800,Golf
David Lipsky,6800,Golf
Zac Blair,6700,Golf
Chez Reavie,6700,Golf
Roger Sloan,6700,Golf
Kevin Chappell,6700,Golf
David Skinns,6700,Golf
Harry Higgs,6700,Golf
Norman Xiong,6600,Golf
Will Gordon,6600,Golf
Tyler Duncan,6600,Golf
Wilson Furr,6600,Golf
Robby Shelton,6600,Golf
Emilio Gonzalez,6600,Golf
Taylor Montgomery,6500,Golf
Brandon Wu,6500,Golf
Garrick Higgo,6500,Golf
Kelly Kraft,6500,Golf
Troy Merritt,6500,Golf
Rafael Campos,6500,Golf
Tom Whitney,6400,Golf
Luke Donald,6400,Golf
Ryan McCormick,6400,Golf
Carl Yuan,6400,Golf
Hayden Buckley,6400,Golf
Ryan Palmer,6400,Golf
Kevin Dougherty,6300,Golf
Adrien Dumont De Chassart,6300,Golf
Callum Tarren,6300,Golf
Camilo Villegas,6300,Golf
Aaron Baddeley,6300,Golf
Austin Hitt,6300,Golf
Danny Willett,6200,Golf
Omar Morales,6200,Golf
Ryan Brehm,6200,Golf
Ben Taylor,6200,Golf
Josh Teater,6200,Golf
Raul Pereda,6200,Golf
William Moll,6200,Golf
Erik Barnes,6100,Golf
Paul Barjon,6100,Golf
Blaine Hale,6100,Golf
Santiago De la Fuente,6100,Golf
Isidro Benitez,6100,Golf
Billy Andrade,6100,Golf
Tyson Alexander,6000,Golf
Austin Cook,6000,Golf
Martin Trainer,6000,Golf
Tim Wilkinson,6000,Golf
Mark Geddes,6000,Golf
Andrew Walker,6000,Golf
Dylan Brack,6000,Golf
