displayName,salary,teamAbbreviation
Carlos Prates,9600,Prates
Denise Gomes,9400,Gomes
Mansur Abdul-Malik,9300,Abdul-Malik
Gillian Robertson,9200,Robertson
Reinier de Ridder,9100,de Ridder
Benardo Sopaj,9000,Sopaj
Da'Mon Blackshear,8900,Blackshear
Melissa Mullins,8800,Mullins
Cortavious Romious,8700,Romious
Tresean Gore,8600,Gore
Charles Radtke,8500,Radtke
Miles Johns,8300,Johns
Nicolas Dalby,8200,Dalby
Elizeu Zaleski dos Santos,8000,Zaleski dos Santos
Cody Garbrandt,7900,Garbrandt
Matthew Semelsberger,7700,Semelsberger
Antonio Trocoli,7600,Trocoli
Gaston Bolanos,7500,Bolanos
Klaudia Sygula,7400,Sygula
Cody Stamann,7300,Stamann
Ricky Turcios,7200,Turcios
Gerald Meerschaert,7100,Meerschaert
Luana Pinheiro,7000,Pinheiro
Dusko Todorovic,6900,Todorovic
Karolina Kowalkiewicz,6800,Kowalkiewicz
Neil Magny,6600,Magny
