displayName,salary,teamAbbreviation
Victor Wembanyama,11400,SAS
James Harden,10600,LAC
Kawhi Leonard,9600,LAC
Ivica Zubac,8200,LAC
Jeremy Sochan,8000,SAS
Norman Powell,7800,LAC
Chris Paul,7600,SAS
Devin Vassell,7200,SAS
Keldon Johnson,7000,SAS
Harrison Barnes,6400,SAS
Derrick Jones Jr.,6000,LAC
Tre Jones,5800,SAS
Julian Champagnie,5600,SAS
Zach Collins,5400,SAS
Terance Mann,5200,LAC
Stephon Castle,4800,SAS
Kevin Porter Jr.,4400,LAC
Kris Dunn,4000,LAC
Malaki Branham,3600,SAS
Nicolas Batum,3200,LAC
Amir Coffey,2800,LAC
Blake Wesley,2400,SAS
Kai Jones,2000,LAC
Sandro Mamukelashvili,1600,SAS
Mo Bamba,1000,LAC
Riley Minix,1000,SAS
David Duke Jr.,1000,SAS
Bones Hyland,1000,LAC
Kobe Brown,1000,LAC
Harrison Ingram,1000,SAS
Jordan Miller,1000,LAC
Cam Christie,1000,LAC
Charles Bassey,1000,SAS
Sidy Cissoko,1000,SAS
Trentyn Flowers,1000,LAC
P.J. Tucker,1000,LAC
