displayName,salary,teamAbbreviation
Justin Jefferson,8800,MIN
CeeDee Lamb,8600,DAL
Saquon Barkley,8300,PHI
A.J. Brown,8200,PHI
Alvin Kamara,8100,NO
Christian McCaffrey,8000,SF
Jalen Hurts,7800,PHI
DeVonta Smith,7800,PHI
Josh Allen,7700,BUF
Bijan Robinson,7700,ATL
Breece Hall,7600,NYJ
Jayden Daniels,7500,WAS
Jonathan Taylor,7500,IND
Jordan Mason,7400,SF
Terry McLaurin,7300,WAS
J.K. Dobbins,7200,LAC
Garrett Wilson,7200,NYJ
Mike Evans,7100,TB
James Cook,7000,BUF
Davante Adams,7000,NYJ
Tony Pollard,6900,TEN
Deebo Samuel Sr.,6900,SF
Isiah Pacheco,6800,KC
George Pickens,6800,PIT
Kirk Cousins,6700,ATL
Aaron Jones,6700,MIN
Drake London,6700,ATL
Patrick Mahomes,6600,KC
Kareem Hunt,6600,KC
Brian Thomas Jr.,6600,JAX
Brock Purdy,6500,SF
James Conner,6500,ARI
D'Andre Swift,6500,CHI
Darnell Mooney,6500,ATL
Baker Mayfield,6400,TB
Isaac Guerendo,6400,SF
Rhamondre Stevenson,6400,NE
Marvin Harrison Jr.,6400,ARI
Kyler Murray,6300,ARI
Brian Robinson Jr.,6300,WAS
DJ Moore,6300,CHI
Sam Darnold,6200,MIN
Najee Harris,6200,PIT
Josh Downs,6200,IND
Dak Prescott,6100,DAL
Rico Dowdle,6100,DAL
Xavier Worthy,6100,KC
Chris Olave,6100,NO
Bo Nix,6000,DEN
Javonte Williams,6000,DEN
Khalil Shakir,6000,BUF
Michael Pittman Jr.,6000,IND
Travis Kelce,6000,KC
Russell Wilson,5900,PIT
Justin Fields,5900,PIT
Rachaad White,5900,TB
Ladd McConkey,5900,LAC
Drake Maye,5800,NE
Travis Etienne Jr.,5800,JAX
Austin Ekeler,5800,WAS
Amari Cooper,5800,BUF
George Kittle,5800,SF
Aaron Rodgers,5700,NYJ
Bucky Irving,5700,TB
Tank Bigsby,5700,JAX
Calvin Ridley,5700,TEN
Trey McBride,5700,ARI
Caleb Williams,5600,CHI
Courtland Sutton,5600,DEN
Joe Flacco,5500,IND
Anthony Richardson,5500,IND
Ray Davis,5500,BUF
Braelon Allen,5500,NYJ
Keon Coleman,5500,BUF
Cade Otton,5500,TB
Trevor Lawrence,5400,JAX
Keenan Allen,5400,CHI
Derek Carr,5300,NO
Jaylen Warren,5300,PIT
DeAndre Hopkins,5300,KC
Jordan Addison,5300,MIN
Evan Engram,5300,JAX
Justin Herbert,5200,LAC
Tyler Allgeier,5200,ATL
Kimani Vidal,5200,LAC
Rome Odunze,5200,CHI
Cooper Rush,5100,DAL
Ezekiel Elliott,5100,DAL
Jalen Tolbert,5100,DAL
Jauan Jennings,5100,SF
Tyson Bagent,5000,CHI
Clyde Edwards-Helaire,5000,KC
Dalvin Cook,5000,DAL
Gabe Davis,5000,JAX
Brandin Cooks,5000,DAL
Jake Ferguson,5000,DAL
Mason Rudolph,4900,TEN
Will Levis,4900,TEN
Antonio Gibson,4900,NE
Tyler Goodson,4900,IND
Alec Pierce,4900,IND
Quentin Johnston,4900,LAC
Dalton Kincaid,4900,BUF
Jacoby Brissett,4800,NE
Kenny Pickett,4800,PHI
Trey Benson,4800,ARI
Samaje Perine,4800,KC
Allen Lazard,4800,NYJ
Joshua Palmer,4800,LAC
Kyle Pitts,4800,ATL
Michael Penix Jr.,4700,ATL
Tyrod Taylor,4700,NYJ
Mitchell Trubisky,4700,BUF
Sean Tucker,4700,TB
Tyjae Spears,4700,TEN
Cam Akers,4700,MIN
Jahan Dotson,4700,PHI
T.J. Hockenson,4700,MIN
Carson Wentz,4600,KC
Emari Demercado,4600,ARI
Roschon Johnson,4600,CHI
Cedrick Wilson Jr.,4600,NO
Michael Wilson,4600,ARI
Marcus Mariota,4500,WAS
Ty Johnson,4500,BUF
Trey Sermon,4500,IND
Jaleel McLaughlin,4500,DEN
JuJu Smith-Schuster,4500,KC
Mason Tipton,4500,NO
Dallas Goedert,4500,PHI
Mac Jones,4400,JAX
Kyle Trask,4400,TB
Patrick Taylor Jr.,4400,SF
Jeremy McNichols,4400,WAS
Ricky Pearsall,4400,SF
DeMario Douglas,4400,NE
Spencer Rattler,4300,NO
Jake Haener,4300,NO
Clayton Tune,4300,ARI
Julius Chestnut,4300,TEN
Chris Rodriguez Jr.,4300,WAS
Ray-Ray McCloud III,4300,ATL
Noah Brown,4300,WAS
Cole Kmet,4300,CHI
Taylor Heinicke,4200,LAC
Ty Chandler,4200,MIN
D'Ernest Johnson,4200,JAX
Jalen Nailor,4200,MIN
Jalen McMillan,4200,TB
Pat Freiermuth,4200,PIT
Jamaal Williams,4100,NO
JaMycal Hasty,4100,NE
Kenneth Gainwell,4100,PHI
Mike Williams,4100,NYJ
Sterling Shepard,4100,TB
Jarrett Stidham,4000,DEN
Brandon Allen,4000,SF
Tanner McKee,4000,PHI
Will Grier,4000,PHI
Trey Lance,4000,DAL
Anthony Brown Jr.,4000,ARI
Jordan Travis,4000,NYJ
Adrian Martinez,4000,NYJ
Easton Stick,4000,LAC
Trevor Siemian,4000,TEN
Jeff Driskel,4000,WAS
Sam Hartman,4000,WAS
Kyle Allen,4000,PIT
Michael Pratt,4000,TB
Joshua Dobbs,4000,SF
Tanner Mordecai,4000,SF
Nathan Peterman,4000,ATL
Chris Oladokun,4000,KC
