displayName,salary,teamAbbreviation
Lamar Jackson,11400,BAL
Derrick Henry,11200,BAL
Ja'Marr Chase,10800,CIN
Joe Burrow,10400,CIN
Zay Flowers,9600,BAL
Chase Brown,9000,CIN
Tee Higgins,8800,CIN
Zack Moss,8000,CIN
Mike Gesicki,6600,CIN
Logan Woodside,6000,CIN
Josh Johnson,6000,BAL
Jake Browning,6000,CIN
Devin Leary,6000,BAL
Rashod Bateman,5800,BAL
Justin Tucker,5400,BAL
Justice Hill,5200,BAL
Evan McPherson,5000,CIN
Diontae Johnson,4800,BAL
Ravens,4400,BAL
Mark Andrews,4200,BAL
Isaiah Likely,4000,BAL
Bengals,3800,CIN
Andrei Iosivas,3400,CIN
Nelson Agholor,3000,BAL
Khalil Herbert,2800,CIN
Drew Sample,2600,CIN
Keaton Mitchell,2400,BAL
Jermaine Burton,2200,CIN
Trayveon Williams,2000,CIN
Erick All Jr.,1800,CIN
Tanner Hudson,1600,CIN
Kendall Milton,1400,CIN
Trenton Irwin,1200,CIN
Tylan Wallace,1000,BAL
Charlie Kolar,600,BAL
Patrick Ricard,400,BAL
Rasheen Ali,200,BAL
Chris Evans,200,CIN
Chris Collier,200,BAL
Devontez Walker,200,BAL
Anthony Miller,200,BAL
Kendric Pryor,200,CIN
Owen Wright,200,BAL
Deonte Harty,200,BAL
Keith Kirkwood,200,BAL
Charlie Jones,200,CIN
Cole Burgess,200,CIN
Dayton Wade,200,BAL
Malik Cunningham,200,BAL
Cal Adomitis,200,CIN
Tanner McLachlan,200,CIN
Cam Grandy,200,CIN
Zaire Mitchell-Paden,200,BAL
