displayName,salary,teamAbbreviation
Malik Nabers,10600,NYG
Chuba Hubbard,9800,CAR
Daniel Jones,9400,NYG
Tyrone Tracy Jr.,9000,NYG
Bryce Young,8800,CAR
Andy Dalton,8600,CAR
Xavier Legette,8400,CAR
Wan'Dale Robinson,7400,NYG
Devin Singletary,7000,NYG
Darius Slayton,6800,NYG
Adam Thielen,6600,CAR
Jalen Coker,6400,CAR
Tommy DeVito,6000,NYG
Drew Lock,6000,NYG
Jack Plummer,6000,CAR
Giants,5800,NYG
Jude McAtamney,5400,NYG
Greg Joseph,5400,NYG
Graham Gano,5400,NYG
Eddy Pineiro,5000,CAR
Panthers,4800,CAR
Ja'Tavion Sanders,4400,CAR
Theo Johnson,4000,NYG
Jonathon Brooks,3400,CAR
David Moore,3000,CAR
Miles Sanders,2800,CAR
Jalin Hyatt,2000,NYG
Chris Manhertz,1600,NYG
Tommy Tremble,1200,CAR
Daniel Bellinger,1000,NYG
Ian Thomas,600,CAR
Eric Gray,400,NYG
Feleipe Franks,200,CAR
Jakob Johnson,200,NYG
Ihmir Smith-Marsette,200,NYG
Deven Thompkins,200,CAR
Isaiah Hodgins,200,NYG
Mike Boone,200,CAR
Dillon Johnson,200,CAR
Jashaun Corbin,200,NYG
Dante Miller,200,NYG
Kearis Jackson,200,NYG
Praise Olatoke,200,CAR
Dax Milne,200,CAR
Stephen Sullivan,200,CAR
Dan Chisena,200,CAR
Gunner Olszewski,200,NYG
Bryce Ford-Wheaton,200,NYG
Jordan Matthews,200,CAR
Raheem Blackshear,200,CAR
