displayName,salary,teamAbbreviation
Christian McCaffrey,10000,SF
Deebo Samuel Sr.,9800,SF
Brock Purdy,9600,SF
Baker Mayfield,9400,TB
Mike Evans,9200,TB
Jordan Mason,9000,SF
George Kittle,8800,SF
Cade Otton,8600,TB
Isaac Guerendo,8400,SF
Rachaad White,8000,TB
Jauan Jennings,7200,SF
Bucky Irving,7000,TB
Ricky Pearsall,6400,SF
Sterling Shepard,6200,TB
Kyle Trask,6000,TB
Michael Pratt,6000,TB
Tanner Mordecai,6000,SF
Joshua Dobbs,6000,SF
Brandon Allen,6000,SF
Jalen McMillan,5600,TB
Anders Carlson,5200,SF
Matthew Wright,5200,SF
Jake Moody,5200,SF
Chase McLaughlin,5000,TB
49ers,4800,SF
Sean Tucker,4400,TB
Trey Palmer,4000,TB
Buccaneers,3600,TB
Rakim Jarrett,3200,TB
Ryan Miller,3000,TB
Patrick Taylor Jr.,2400,SF
Kyle Juszczyk,2000,SF
Eric Saubert,1600,SF
Jacob Cowing,1200,SF
Chris Conley,1000,SF
Ronnie Bell,600,SF
Payne Durham,200,TB
Dennis Houston,200,TB
Marquez Callaway,200,TB
D.J. Williams,200,TB
Ke'Shawn Vaughn,200,SF
Elijah Mitchell,200,SF
Chase Edmonds,200,TB
Chris Godwin,200,TB
Brandon Aiyuk,200,SF
Tanner Knue,200,TB
Terique Owens,200,SF
Malik Turner,200,SF
Trent Taylor,200,SF
Kameron Johnson,200,TB
Tanner Taula,200,TB
Mason Pline,200,SF
Evan Deckers,200,TB
Brayden Willis,200,SF
Devin Culp,200,TB
Jake Tonges,200,SF
Ko Kieft,200,TB
