displayName,salary,teamAbbreviation
Nathan MacKinnon,9800,COL
Auston Matthews,9600,TOR
Kirill Kaprizov,9400,MIN
Nikita Kucherov,9200,TBL
Mikko Rantanen,9000,COL
David Pastrnak,8800,BOS
Brady Tkachuk,8700,OTT
Cale Makar,8500,COL
Pyotr Kochetkov,8500,CAR
Spencer Martin,8500,CAR
Connor Hellebuyck,8400,WPG
Eric Comrie,8400,WPG
Frederik Andersen,8300,CAR
Kevin Lankinen,8300,VAN
Arturs Silovs,8300,VAN
Kyle Connor,8200,WPG
Justus Annunen,8200,COL
Alexandar Georgiev,8200,COL
Matt Boldy,8100,MIN
Joseph Woll,8100,TOR
Anthony Stolarz,8100,TOR
Thatcher Demko,8100,VAN
Sidney Crosby,8000,PIT
Kaapo Kahkonen,8000,COL
Filip Gustavsson,8000,MIN
Marc-Andre Fleury,8000,MIN
Ilya Sorokin,8000,NYI
Semyon Varlamov,8000,NYI
Ukko-Pekka Luukkonen,7900,BUF
Devon Levi,7900,BUF
Andrei Vasilevskiy,7900,TBL
Jonas Johansson,7900,TBL
Zach Werenski,7800,CBJ
Sam Montembeault,7800,MTL
Cayden Primeau,7800,MTL
Troy Grosenick,7800,MIN
Elvis Merzlikins,7800,CBJ
Daniil Tarasov,7800,CBJ
Sebastian Aho,7700,CAR
Cole Caufield,7600,MTL
MacKenzie Blackwood,7600,SJS
Vitek Vanecek,7600,SJS
Dan Vladar,7600,CGY
Dustin Wolf,7600,CGY
Jake Guentzel,7500,TBL
Jordan Binnington,7500,STL
Joel Hofer,7500,STL
Linus Ullmark,7500,OTT
Anton Forsberg,7500,OTT
Tage Thompson,7400,BUF
Alex Nedeljkovic,7400,PIT
Joel Blomqvist,7400,PIT
Darcy Kuemper,7400,LAK
David Rittich,7400,LAK
Andrei Svechnikov,7300,CAR
Jeremy Swayman,7300,BOS
Joonas Korpisalo,7300,BOS
Evgeni Malkin,7200,PIT
Tristan Jarry,7200,PIT
Joey Daccord,7200,SEA
Philipp Grubauer,7200,SEA
Anze Kopitar,7100,LAK
Lukas Dostal,7100,ANA
James Reimer,7100,ANA
Clayton Keller,7000,UTA
Connor Ingram,7000,UTA
Karel Vejmelka,7000,UTA
Mark Scheifele,6900,WPG
Travis Konecny,6900,PHI
John Gibson,6900,ANA
Samuel Ersson,6900,PHI
Ivan Fedotov,6900,PHI
John Tavares,6800,TOR
Alex Tuch,6800,BUF
Quinn Hughes,6800,VAN
Brayden Point,6700,TBL
Adrian Kempe,6700,LAK
Aleksei Kolosov,6700,PHI
Tim Stuetzle,6600,OTT
Jordan Kyrou,6600,STL
Victor Hedman,6600,TBL
Mikael Granlund,6500,SJS
Kevin Fiala,6500,LAK
Brandon Montour,6500,SEA
Carey Price,6500,MTL
Tomas Suchanek,6500,ANA
Tristan Lennox,6500,NYI
Dennis Hildeby,6500,TOR
Joel Eriksson Ek,6400,MIN
Martin Necas,6400,CAR
William Nylander,6400,TOR
Jake Sanderson,6400,OTT
Sean Monahan,6300,CBJ
Mats Zuccarello,6300,MIN
Mitch Marner,6300,TOR
Noah Dobson,6300,NYI
J.T. Miller,6200,VAN
Brock Boeser,6200,VAN
Dylan Guenther,6200,UTA
Mike Matheson,6200,MTL
Nazem Kadri,6100,CGY
Kirill Marchenko,6100,CBJ
Rasmus Andersson,6100,CGY
Brock Nelson,6000,NYI
Owen Tippett,6000,PHI
Bryan Rust,6000,PIT
MacKenzie Weegar,6000,CGY
Nick Suzuki,5900,MTL
Casey Mittelstadt,5900,COL
Jared McCann,5900,SEA
Rasmus Dahlin,5900,BUF
Bo Horvat,5800,NYI
Ross Colton,5800,COL
Brandon Hagel,5800,TBL
Drake Batherson,5800,OTT
Mikhail Sergachev,5800,UTA
Elias Pettersson,5700,VAN
Yegor Chinakhov,5700,CBJ
Seth Jarvis,5700,CAR
Josh Morrissey,5700,WPG
Mathew Barzal,5600,NYI
JJ Peterka,5600,BUF
Tyler Toffoli,5600,SJS
Jake Walman,5600,SJS
Elias Lindholm,5500,BOS
Nikolaj Ehlers,5500,WPG
Vince Dunn,5500,SEA
Charlie McAvoy,5500,BOS
Boone Jenner,5400,CBJ
Matvei Michkov,5400,PHI
Erik Karlsson,5400,PIT
Pavel Buchnevich,5300,STL
Brad Marchand,5300,BOS
Shayne Gostisbehere,5300,CAR
Kaiden Guhle,5300,MTL
Robert Thomas,5200,STL
Rickard Rakell,5200,PIT
Nick Schmaltz,5200,UTA
Brandt Clarke,5200,LAK
Josh Norris,5100,OTT
Frank Vatrano,5100,ANA
Colton Parayko,5100,STL
Thomas Chabot,5100,OTT
Adam Fantilli,5000,CBJ
Marco Rossi,5000,MIN
Juraj Slafkovsky,5000,MTL
Kyle Palmieri,5000,NYI
Travis Sanheim,5000,PHI
Neal Pionk,5000,WPG
Leo Carlsson,4900,ANA
Troy Terry,4900,ANA
Morgan Rielly,4900,TOR
Anthony Cirelli,4800,TBL
Barrett Hayton,4800,UTA
Patrik Laine,4800,MTL
Kris Letang,4800,PIT
Jonas Brodin,4800,MIN
Brayden Schenn,4700,STL
Matty Beniers,4700,SEA
Jordan Eberle,4700,SEA
Conor Garland,4700,VAN
Jake Middleton,4700,MIN
Sean Couturier,4600,PHI
William Eklund,4600,SJS
Alex Laferriere,4600,LAK
Justin Faulk,4600,STL
Drew Doughty,4600,LAK
Morgan Frost,4500,PHI
