displayName,salary,teamAbbreviation
Bukayo Saka,10600,ARS
Hakan Çalhanoglu,10000,INT
Martin Ødegaard,9600,ARS
Mehdi Taremi,9400,INT
Davide Frattesi,9200,INT
Kai Havertz,9000,ARS
Marko Arnautovic,8800,INT
Nicolò Barella,8600,INT
Lautaro Martínez,8200,INT
Piotr Zielinski,8000,INT
Federico Dimarco,7800,INT
Joaquín Correa,7600,INT
Mikel Merino,7400,ARS
Raheem Sterling,7200,ARS
Declan Rice,7000,ARS
Marcus Thuram,6800,INT
Takehiro Tomiyasu,6600,ARS
Denzel Dumfries,6600,INT
Riccardo Calafiori,6400,ARS
Leandro Trossard,6400,ARS
Gabriel Martinelli,6200,ARS
Carlos Augusto,6200,INT
Alessandro Bastoni,6000,INT
Tajon Buchanan,6000,INT
Myles Lewis-Skelly,6000,ARS
Benjamin Pavard,5800,INT
Kristjan Asllani,5800,INT
Kieran Tierney,5800,ARS
Yann Sommer,5600,INT
Raffaele Di Gennaro,5400,INT
Josep Martínez,5400,INT
Andrei Radu,5400,INT
David Raya,5200,ARS
Neto,5000,ARS
Jack Porter,5000,ARS
Alexei Rojas Fedorushchenko,5000,ARS
Tommy Setford,5000,ARS
Matteo Darmian,4800,INT
Thomas Partey,4800,ARS
Gabriel Jesus,4800,ARS
Francesco Acerbi,4600,INT
Henrikh Mkhitaryan,4600,INT
Oleksandr Zinchenko,4400,ARS
Yann Bisseck,4400,INT
Gabriel Magalhães,4400,ARS
Ethan Nwaneri,4200,ARS
Salah-Eddine Oulad M'hand,4200,ARS
William Saliba,4200,ARS
Ismeal Kabia,4000,ARS
Thomas Berenbruch,4000,INT
Ben White,4000,ARS
Jakub Kiwior,3800,ARS
Nathan Butler-Oyedeji,3800,ARS
Stefan de Vrij,3800,INT
Josh Robinson,3600,ARS
Jorge Luiz Jorginho,3600,ARS
Zane Monlouis,3400,ARS
Josh Nichols,3400,ARS
Jurriën Timber,3400,ARS
Ayden Heaven,3200,ARS
Maldini Kacurri,3200,ARS
Mike Aidoo,3000,INT
Tomás Palacios,3000,INT
