Name,salary,Opponent
Quentin Halys,10000,Herbert
Denis Shapovalov,9700,Borges
Yunchaokete Bu,9400,De Jong
Laslo Djere,9200,Ajdukovic
Zizou Bergs,8900,Gaston
Roman Safiullin,8700,Cerundolo
Christopher O'Connell,8600,Altmaier
Cameron Norrie,8400,van Assche
Casper Ruud,8300,Bonzi
Fabian Marozsan,8100,Lajovic
Dusan Lajovic,7500,Marozsan
Benjamin Bonzi,7300,Ruud
Luca van Assche,7200,Norrie
Daniel Altmaier,6900,O’Connell
Francisco Cerundolo,6800,Safiullin
Hugo Gaston,6400,Bergs
Duje Ajdukovic,6200,Djere
Jesper De Jong,6000,Bu
Nuno Borges,5800,Shapovalov
Pierre-Hugues Herbert,5400,Halys
