DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
35795922,Josh Allen,QB,BUF,MIA,Q,16500,,37.04,,39.15,2.3727272727272726,28.95,27.83708433911495,0,100,24.4786,50.5584,26.101549203863236,18.02,23.98,30.58,34.343,40.9615,48.9414,26.101549203863236,18.02,23.98,30.58,34.343,40.9615,48.9414,25.038902375358912,17.62,23.16,29.24,32.5,38.861,46.2206,24.692,18.02,23.98,30.58,34.343,40.9615,48.9414,9.22585,9.22585,8.52706,9.22585,36.783,21.9099,269.693,1.5698,0.907557,0,0,0,8.62461,36.4875,0.681186
35795925,James Cook,RB,BUF,MIA,,13500,,27.04,,28.36,2.100740740740741,13.59,14.065222830046247,0,100,24.4786,50.5584,18.90492609631954,12,16.8,22.8625,26.4,33.1,42.402,16.757836563560467,10.2,14.7,20.3,23.8,30.2025,38.9002,16.386654104672452,10.2,14.6,19.85,23,28.9025,36.702,18.0239,12,16.8,22.8625,26.4,33.1,42.402,8.27694,7.71951,7.25493,8.27694,0,0,0,0,0,4.24879,43.1315,0.2445,14.9913,56.2993,0.354714
35795921,Tyreek Hill,WR,MIA,BUF,,17400,,27.17,,27.57,1.5844827586206895,12.26,13.225814681038818,0,100,26.0798,50.5584,18.381747585486824,10.7375,16.4,24.3,28.7,36.205,44.9515,15.486028452101309,8.4,13.5,20.5125,24.8,32,40.1,14.631682328373827,8.4,13.3,19.2,22.7,29.3,37.1,18.1113,10.7375,16.4,24.3,28.7,36.205,44.9515,9.74836,8.87818,7.93029,9.74836,0,0,0,0,0,5.72129,78.5241,0.571129,0.443429,1.90013,0.0185714
35795870,Josh Allen,QB,BUF,MIA,Q,11000,,24.69,,26.1,2.372727272727273,44.11,43.07135705634282,0,100,24.4786,50.5584,26.101549203863236,18.02,23.98,30.58,34.343,40.9615,48.9414,26.101549203863236,18.02,23.98,30.58,34.343,40.9615,48.9414,25.038902375358912,17.62,23.16,29.24,32.5,38.861,46.2206,24.692,18.02,23.98,30.58,34.343,40.9615,48.9414,9.22585,9.22585,8.52706,9.22585,36.783,21.9099,269.693,1.5698,0.907557,0,0,0,8.62461,36.4875,0.681186
35795924,Tua Tagovailoa,QB,MIA,BUF,,14100,,25.41,,25.78,1.8283687943262412,8.93,8.958056977120004,0,100,26.0798,50.5584,17.185734795092685,11.855,16.16,21.28,24.12,29.82,36.5632,17.185734795092685,11.855,16.16,21.28,24.12,29.82,36.5632,16.701788044896915,11.8,16.04,20.64,23.22,28.12,34.04,16.942,11.855,16.16,21.28,24.12,29.82,36.5632,7.07827,7.07827,6.5278,7.07827,31.3627,19.5717,235.07,1.72091,0.698314,0,0,0,1.71269,6.48991,0.0594
35795923,De'Von Achane,RB,MIA,BUF,Q,14400,,24.51,,24.1,1.6736111111111112,10.2,10.599842653593718,0,100,26.0798,50.5584,16.066043461237342,10.3,15.225,21.1,24.7,31.3025,40.001,14.498176063690993,8.9,13.7,19.3,22.7,29.2,37.501,14.274213651788102,8.9,13.6,19,22.2,28.2,35.703,16.3423,10.3,15.225,21.1,24.7,31.3025,40.001,8.06758,7.70115,7.34754,8.06758,0,0,0,0,0,3.08843,28.9057,0.182086,13.615,56.7667,0.569529
35795873,James Cook,RB,BUF,MIA,,9000,,18.02,,18.9,2.1,35.87,37.03140060752347,0,100,24.4786,50.5584,18.90492609631954,12,16.8,22.8625,26.4,33.1,42.402,16.757836563560467,10.2,14.7,20.3,23.8,30.2025,38.9002,16.386654104672452,10.2,14.6,19.85,23,28.9025,36.702,18.0239,12,16.8,22.8625,26.4,33.1,42.402,8.27694,7.71951,7.25493,8.27694,0,0,0,0,0,4.24879,43.1315,0.2445,14.9913,56.2993,0.354714
35795926,Jaylen Waddle,WR,MIA,BUF,,12900,,18.45,,18.81,1.458139534883721,4.87,4.708262416619147,0,100,26.0798,50.5584,12.542265400678678,6.6,10.8,16.6,20.3,27.5,35.9505,10.459127838684411,5,8.7,14.1,17.3,24.0025,31.9,10.123184220830064,5,8.7,13.8,16.6,22.2,29.401,12.3013,6.6,10.8,16.6,20.3,27.5,35.9505,7.80901,7.05917,6.49164,7.80901,0,0,0,0,0,4.11457,55.3226,0.383657,0.0740429,0.316145,0.00291429
35795869,Tyreek Hill,WR,MIA,BUF,,11600,,18.11,,18.38,1.5844827586206895,35.71,38.69631164163267,0,100,26.0798,50.5584,18.381747585486824,10.7375,16.4,24.3,28.7,36.205,44.9515,15.486028452101309,8.4,13.5,20.5125,24.8,32,40.1,14.631682328373827,8.4,13.3,19.2,22.7,29.3,37.1,18.1113,10.7375,16.4,24.3,28.7,36.205,44.9515,9.74836,8.87818,7.93029,9.74836,0,0,0,0,0,5.72129,78.5241,0.571129,0.443429,1.90013,0.0185714
35795928,Raheem Mostert,RB,MIA,BUF,Q,10200,,17.53,,17.52,1.7176470588235295,4.17,3.9922285916283893,0,100,26.0798,50.5584,11.678290589924254,6.8,10.5,15.45,18.3,24.0025,31.4,10.421438593056623,5.8,9.16562,13.9125,16.6,22.0525,29.2035,10.37210421560948,5.8,9.16562,13.9,16.6,21.8,28.452,11.6882,6.8,10.5,15.45,18.3,24.0025,31.4,6.53801,6.11146,5.99145,6.53801,0,0,0,0,0,2.49747,25.6321,0.191257,10.4507,40.2956,0.240143
