PG,SG,SF,PF,C,G,F,UTIL,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Geomean Ownership,Simulated ROI
36883378,36883549,36883418,36883398,36883389,36883520,36883368,36883376,274,255.3509,276.3509,296.1009,306.8509,325.6134,347.6009,326.4,39.22533605,0.633178822
36883515,36883402,36883520,36883368,36883376,36883378,36883412,36883361,267.38,248.5432,269.0432,288.0432,298.2932,316.8057,336.2932,287.45,33.74719448,0.495852495
36883520,36883510,36883418,36883506,36883376,36883549,36883368,36883361,267.32,248.0571,269.3071,288.8071,299.8071,318.5571,343.3071,309.52,37.11422043,0.493470458
36883520,36883402,36883418,36883389,36883357,36883378,36883412,36883376,268.06,250.9916,270.7416,289.7416,300.2416,317.0041,338.4916,297.22,34.69106695,0.505211491
36883520,36883549,36883418,36883389,36883376,36883515,36883368,36883361,269.55,250.4521,270.7646,290.8271,302.3021,321.7646,341.7696,305.55,36.49722837,0.537523953
36883378,36883510,36883543,36883418,36883376,36883520,36883389,36883359,266.62,248.6094,269.1094,290.1094,299.8594,318.6219,337.1119,302.73,35.80236704,0.476715796
36883515,36883549,36883520,36883506,36883361,36883378,36883368,36883376,269.25,249.8897,270.8897,290.3897,301.1397,319.6522,344.3947,305.62,36.71049079,0.528086087
36883520,36883549,36883418,36883537,36883376,36883378,36883398,36883368,271.53,253.4418,274.1918,294.4418,305.1918,326.1918,345.4443,319.94,37.95655704,0.580515972
36883520,36883341,36883418,36883398,36883376,36883378,36883412,36883368,269.05,250.5542,270.6792,291.3667,301.5542,320.3042,340.8067,294.63,32.18930552,0.528887342
36883520,36883510,36883543,36883537,36883376,36883378,36883368,36883361,264.41,246.1477,266.3977,286.8977,297.8977,316.8977,337.6652,288.34,33.93544251,0.444400824
36883378,36883549,36883418,36883398,36883376,36883520,36883389,36883361,271.22,253.1707,273.4207,293.1707,303.1707,321.6707,341.9232,316.3,37.8579445,0.570479929
36883378,36883402,36883520,36883398,36883376,36883335,36883368,36883361,267.61,248.8199,268.3199,288.0699,297.5699,316.5699,334.0799,288.89,33.5592131,0.50385375
36883378,36883549,36883418,36883368,36883398,36883520,36883412,36883376,271.04,253.2509,272.7509,293.5634,303.7509,323.5009,343.7509,318.68,37.67069174,0.574096127
36883520,36883549,36883418,36883368,36883398,36883515,36883506,36883361,268.43,248.6669,269.6669,289.6669,300.9169,317.9169,339.9319,315.15,37.95589097,0.520139465
36883378,36883363,36883506,36883412,36883376,36883520,36883418,36883368,268.28,250.0457,270.5457,289.5457,300.5457,318.7957,340.2982,307.36,35.93926528,0.513750015
36883520,36883460,36883418,36883368,36883361,36883549,36883389,36883359,263.35,243.7161,265.2161,285.4661,295.9661,314.9786,337.7186,286.85,31.6401526,0.420346701
36883520,36883549,36883506,36883389,36883361,36883378,36883368,36883359,268.2,249.0547,270.3047,290.5547,300.8047,318.8172,340.5572,306.07,36.77823874,0.511749387
36883378,36883429,36883537,36883398,36883361,36883520,36883418,36883376,267.76,249.7202,270.2202,289.2202,299.9702,317.7327,338.9752,285.63,31.23690223,0.501243769
36883515,36883549,36883537,36883418,36883376,36883520,36883368,36883361,267.08,248.1055,268.4805,289.6055,300.6055,319.8555,339.858,299.09,35.31669247,0.496613943
36883520,36883341,36883418,36883368,36883398,36883378,36883385,36883376,265.14,246.3852,266.3852,286.8852,297.6352,314.8852,335.6377,276.9,24.76408454,0.45294123
36883378,36883549,36883520,36883418,36883376,36883335,36883398,36883359,269.2,250.5386,271.0386,290.7886,302.2886,320.7886,342.0386,303.77,35.26715199,0.527730797
36883520,36883402,36883418,36883385,36883357,36883378,36883412,36883376,261.19,243.7226,263.4726,282.9726,293.4726,310.2226,330.7326,271.77,25.63098227,0.383817472
36883335,36883549,36883520,36883368,36883376,36883378,36883389,36883418,268.74,250.3121,271.5621,291.0621,302.0621,320.8121,341.5671,308.38,35.74510154,0.524426434
36883515,36883402,36883418,36883398,36883361,36883520,36883412,36883368,266.56,247.8204,267.3204,287.3829,297.5704,314.5704,337.3254,296.98,34.89206509,0.481474223
36883378,36883402,36883543,36883418,36883361,36883520,36883368,36883412,266.99,249.7147,269.7772,289.0272,299.7772,316.5272,336.0347,305.69,35.68696465,0.489235102
36883378,36883549,36883537,36883418,36883359,36883520,36883506,36883361,268.37,250.6728,270.7353,292.2978,302.9853,323.4853,346.4903,308.48,36.47318664,0.516115227
36883520,36883353,36883418,36883368,36883412,36883378,36883543,36883361,263.14,246.2268,266.2268,285.4768,295.7268,313.9768,332.7343,284.99,29.58775949,0.414454829
36883515,36883429,36883418,36883368,36883376,36883520,36883389,36883359,265.66,246.4361,266.6861,286.1861,297.1861,316.1986,336.4386,280.4,31.0003355,0.451667889
36883378,36883549,36883520,36883537,36883361,36883422,36883398,36883376,265.37,247.324,266.574,287.074,298.324,317.574,337.079,289.84,34.35235908,0.457593411
36883335,36883549,36883418,36883349,36883376,36883520,36883398,36883378,266.27,248.291,267.3535,288.1035,297.3535,316.6035,336.8535,297.46,34.23484749,0.470895892
36883515,36883363,36883520,36883389,36883376,36883378,36883398,36883361,265.95,246.9225,266.235,285.485,296.735,313.485,333.9875,287.22,34.14807847,0.46376484
36883520,36883341,36883418,36883389,36883376,36883378,36883398,36883361,269.23,251.724,271.474,290.724,300.474,318.474,340.224,292.25,32.34931151,0.523284204
36883378,36883549,36883418,36883389,36883357,36883520,36883506,36883376,269.93,253.0881,272.0881,292.4006,302.1256,320.8381,340.0906,315.39,37.73724345,0.544668693
36883520,36883549,36883537,36883368,36883359,36883515,36883398,36883418,266,246.1403,267.1403,287.8903,299.6778,317.1528,339.3953,304.25,36.05004972,0.471560506
36883378,36883402,36883520,36883389,36883376,36883515,36883368,36883359,267.44,248.6061,269.1061,288.3561,299.3561,316.6186,340.3661,294.23,35.003903,0.492947505
36883378,36883402,36883506,36883398,36883357,36883520,36883412,36883418,266.94,249.8939,269.1439,288.1439,298.8939,316.1439,339.3989,306.82,36.07754379,0.493088538
36883378,36883549,36883537,36883368,36883376,36883515,36883520,36883359,266.82,247.8631,268.6131,289.4256,301.1131,319.6131,343.1181,294.72,34.86718357,0.482497774
36883520,36883549,36883363,36883412,36883361,36883378,36883418,36883376,266.8,248.0117,269.0117,289.0117,299.7617,317.5242,339.5117,299.43,34.97710927,0.483620786
36883378,36883549,36883418,36883412,36883359,36883515,36883520,36883376,268.97,250.4494,270.7619,292.2619,302.5119,321.2744,339.0144,302.33,35.46470036,0.526028317
36883378,36883402,36883418,36883368,36883376,36883520,36883398,36883389,272.15,254.4348,273.6848,293.4348,304.6848,321.6973,343.4423,319.45,38.10539036,0.595742092
36883378,36883402,36883418,36883398,36883359,36883335,36883520,36883376,267.35,248.8725,268.8725,288.1225,299.1225,317.1225,336.375,296.82,34.26021874,0.495543171
36883515,36883402,36883418,36883389,36883376,36883520,36883368,36883361,267.7,248.3485,268.3485,288.3485,299.5985,317.361,337.1085,298.6,35.45517449,0.497997176
36883378,36883549,36883520,36883418,36883359,36883515,36883506,36883376,268.99,249.4423,270.6923,292.1923,302.6923,321.1923,341.6948,313.55,37.47732227,0.526036984
36883515,36883549,36883418,36883368,36883359,36883520,36883389,36883376,266.65,246.7275,267.7275,288.4775,299.7275,318.0025,338.7275,304.61,36.35595898,0.474738778
36883378,36883429,36883418,36883389,36883376,36883520,36883543,36883357,264.22,247.7283,266.4783,286.4783,295.7283,314.7283,331.7283,285.56,31.39542857,0.432398314
36883515,36883549,36883418,36883389,36883359,36883520,36883398,36883361,265.69,245.8692,266.3692,287.3692,297.8692,315.6192,337.8742,300.61,35.95639036,0.467776017
36883520,36883549,36883418,36883389,36883361,36883378,36883543,36883359,266.12,247.826,268.826,289.826,300.576,318.076,338.836,309.32,36.77553703,0.478748073
36883520,36883429,36883418,36883398,36883361,36883378,36883412,36883376,267.27,249.5293,269.2793,288.0918,298.5293,317.0293,336.7818,284.37,31.00164521,0.487037553
36883378,36883341,36883418,36883398,36883361,36883520,36883412,36883376,266.27,247.874,268.624,287.9365,298.374,316.3865,337.384,284.53,31.06718934,0.47416986
36883520,36883510,36883418,36883389,36883359,36883515,36883398,36883376,266.19,246.6526,266.1526,287.6526,297.9026,314.6526,338.1551,294.02,35.00489698,0.466391529
36883378,36883549,36883349,36883398,36883357,36883520,36883412,36883376,264.8,247.8594,265.8594,284.8594,295.8594,313.6094,335.3594,284.38,33.3723765,0.452509579
36883378,36883402,36883537,36883349,36883376,36883520,36883368,36883359,265.31,247.2988,267.4238,287.0488,297.0488,316.0488,336.5538,282.24,32.98929298,0.449887793
36883335,36883549,36883418,36883398,36883361,36883520,36883368,36883376,266.82,247.4413,267.4413,288.1913,296.9788,317.4413,337.1913,299.27,34.85546668,0.485917678
36883520,36883510,36883418,36883368,36883361,36883549,36883389,36883537,263.47,244.4457,266.4457,286.4457,296.9457,316.4457,341.4507,299.23,35.33569584,0.4269759
36883378,36883549,36883418,36883537,36883376,36883520,36883412,36883357,267.44,250.2486,270.4986,290.4986,302.2486,319.7486,342.2536,297.71,34.55556941,0.49460402
36883378,36883549,36883520,36883412,36883357,36883335,36883389,36883361,261.05,244.1709,262.7959,282.1709,292.6709,311.9209,332.6759,273.28,31.40404683,0.386782116
36883378,36883429,36883418,36883506,36883376,36883520,36883368,36883398,270.07,251.6399,272.1399,291.1399,301.9274,320.1524,338.6424,305.69,33.94428327,0.554066242
36883378,36883549,36883418,36883412,36883361,36883520,36883398,36883376,268.26,249.5707,270.0707,290.5707,300.1082,319.3207,340.5807,308.58,36.35749495,0.509373625
